header.license,header.name,header.uwi,header.company,location.basin,header.spud_date,header.rig_release,location.gl,location.kb,location.td,location.x,location.y,location.utm,location.latitude,location.longitude,location.datum,header.status
P-86,Hastings #1,,Gulf Oil Canada Ltd.,Cumberland Basin,1975-06-11,1975-08-11,,,2939.5,5077186,416100,20,45.84305556,64.08111111,NAD 83,Plugged and Abandoned
P-85,Wallace Station #1,,Anschutz (Canada) Exploration Ltd.,Cumberland Basin,1972-12-22,1973-08-29,,,4536,5068720,460527,20,45.77083333,63.50833333,,Plugged and Abandoned
P-84,Birch Grove #1,,Murphy Oil Company Ltd.,Sydney Basin,1968-02-08,1968-03-24,46.5,49.74,1343.6,5114736,736786,20,46.14511111,59.93473333,,Plugged and Abandoned
P-83,Pacific Fox Harbour C-96-V,,Pacific Petroleum Ltd.,Cumberland Basin,1963-12-10,1964-05-04,,,3003.2,5077394,460216,20,45.84895833,63.51301944,,Plugged and Abandoned
P-82,Port Hood #1,,Imperial Oil Limited,Western Cape Breton Basin,1960-01-16,1960-04-11,,,2999.2,5098725,617492,20,46.03194444,61.4825,,Plugged and Abandoned
P-81,Mabou #1,,Imperial Oil Limited,Western Cape Breton Basin,1959-10-24,1959-12-31,,,1568.2,5097923,623831,20,46.02361111,61.40083333,,Plugged and Abandoned
P-80,Lura #1; NSDM Record # 2671,,Lura Corporation Ltd.,Antigonish Basin,1958-10-04,1958-12-12,,,607.5,5057113,589860,20,45.66166667,61.84722222,,Plugged and Abandoned
P-79,Inverness #6,,Imperial Oil Limited,Western Cape Breton Basin,1958-08-26,1958-09-10,,,51.8,5104898,642255,20,46.08277778,61.16083333,,Plugged and Abandoned
P-78,Inverness #5,,Imperial Oil Limited,Western Cape Breton Basin,1958-08-26,1958-09-10,,,30.5,5105328,642159,20,46.08666667,61.16194444,,Plugged and Abandoned
P-77,Inverness #4,,Imperial Oil Limited,Western Cape Breton Basin,1958-08-26,1958-09-10,,,143.3,5086881,619721,20,45.925,61.45666667,,Plugged and Abandoned
P-76,Inverness #3,,Imperial Oil Limited,Western Cape Breton Basin,1958-08-26,1958-09-10,,,146.3,5108416,639446,20,46.115,61.19611111,,Plugged and Abandoned
P-75,Inverness #2,,Imperial Oil Limited,Western Cape Breton Basin,1958-08-26,1958-09-10,,,79.3,5099226,625697,20,46.035,61.37638889,,Plugged and Abandoned
P-74,Inverness #1,,Imperial Oil Limited,Western Cape Breton Basin,1958-08-26,1958-09-10,,,155.5,5102158,624068,20,46.06166667,61.39666667,,Plugged and Abandoned
P-73,Anthony #3,,Nova Scotia Oil & Gas Company,Windsor Basin,1905-05-04,1905-05-04,,,788.8,5003030,442563,20,45.17833333,63.73166667,,Plugged and Abandoned
P-72,NSDM Record # 1505,,Nova Scotia Centre for Geological Science,Antigonish Basin,1949-07-13,1949-09-19,,,217,5065422,576447,20,45.73805556,62.01805556,,Plugged and Abandoned
P-71,Hay River; NSDM Record # 1453,,Little Narrows Petroleum Company,Western Cape Breton Basin,1948-08-09,1948-09-30,,,211.5,5106320,635476,20,46.09694444,61.24805556,,Plugged and Abandoned
P-70,"NSDM Record # 1452, No.2",,Little Narrows Petroleum Company,Western Cape Breton Basin,1947-10-27,1948-04-22,,,610.8,5094133,659167,20,45.98222222,60.94583333,,Plugged and Abandoned
P-69,Little Narrows No. 1; NSDM Record # 1236,,Little Narrows Petroleum Company,Western Cape Breton Basin,1946-11-26,1946-07-08,,,492,5093297,659080,20,45.97472222,60.94722222,,Plugged and Abandoned
P-68,NSDM Record # 1235,,Little Narrows Petroleum Company,Western Cape Breton Basin,1946-11-26,1946-07-08,,,99.7,5093297,659080,20,45.97472222,60.94722222,,Plugged and Abandoned
P-67,NSDM Record # 1098; Borehole #3,,Sydney Petroleum Company,Sydney Basin,1946-09-01,1946-10-24,,,25,5111488,729389,20,46.11833333,60.03194444,,Plugged and Abandoned
P-66,NSDM Record # 1097; Borehole #2,,Sydney Petroleum Company,Sydney Basin,1946-09-01,1946-10-24,,,71,5113620,731823,20,46.13666667,59.99944444,,Plugged and Abandoned
P-65,NSDM Record # 1096; Borehole #1,,Sydney Petroleum Company,Sydney Basin,1946-09-01,1946-10-24,,,77,5113079,731414,20,46.13194444,60.005,,Plugged and Abandoned
P-64,NSDM Record # 1172; Borehole #2,,Pictou Petroleum Company,Stellarton Basin,1946-05-16,1946-07-16,,,11.1,5048654,538730,20,45.59027778,62.50416667,,Plugged and Abandoned
P-63,NSDM Record # 1171; Borehole #1,,Pictou Petroleum Company,Stellarton Basin,1946-05-16,1946-07-16,,,197,5048809,538794,20,45.59166667,62.50333333,,Plugged and Abandoned
P-62,Sunoco #1A (Nappan No.1A),,Sun Oil Company (of Philadelphia),Cumberland Basin,1946-04-15,"September 1, 1947 (proposed)",,,3506,5070869,404633,20,45.78472222,64.2275,,Plugged and Abandoned
P-61,Sunoco #1,,Sun Oil Company (of Philadelphia),Cumberland Basin,Spring 1945,around end of November 1945,,,1981,5070869,404633,20,45.78472222,64.2275,,Plugged and Abandoned
P-60,Anthony #2,,Nova Scotia Oil & Gas Company,Windsor Basin,1905-04-28,Spring 1945,,,265.2,5002968,442563,20,45.17777778,63.73166667,,Plugged and Abandoned
P-59,Anthony #1,,Nova Scotia Oil & Gas Company,Windsor Basin,1905-04-27,1944-1945,,,194,5002937,442563,20,45.1775,63.73166667,,Plugged and Abandoned
P-58,Mary #1,,"Lion Oil Refining Company (from Eldorado, Arkansas)",Western Cape Breton Basin,1905-04-27,,,,2094,5099085,618582,20,46.035,61.46833333,,Plugged and Abandoned
P-57,Mac #1,,"Lion Oil Refining Company (from Eldorado, Arkansas)",Western Cape Breton Basin,1905-04-27,,,,1701,5098573,619215,20,46.03027778,61.46027778,,Plugged and Abandoned
P-56,"McIssac Gas Well, Well No. 5",,Unknown,Western Cape Breton Basin,1938,,,,518.2,5106193,639453,20,46.095,61.19666667,,Plugged and Abandoned
P-55,Amherst #1,,Imperial Oil Limited,Cumberland Basin,1931-03-09,1931-07-27,,,1260,5071080,404982,20,45.78666667,64.22305556,,Plugged and Abandoned
P-54,Scotsburn #1,,Imperial Oil Limited,Cumberland Basin,1930-09-09," January 3, 1931",,,603.5,5053071,499771,20,45.63111111,63.00361111,,Plugged and Abandoned
P-53,Nappan #10,,Imperial Oil Limited,Cumberland Basin,1929 -1930,,,,96.3,5072561,405048,20,45.8,64.2225,,Plugged and Abandoned
P-52,"Nappan #9; NSDM Record No. 720, Borehole #2",,Imperial Oil Limited,Cumberland Basin,1929-10-31,1929-12-02,,,225.6,5072384,406492,20,45.79861111,64.20388889,,Plugged and Abandoned
P-51,Nappan #8,,Imperial Oil Limited,Cumberland Basin,1905-04-12,,,,103.6,5071326,405029,20,45.78888889,64.2225,,Plugged and Abandoned
P-50,"Nappan #7; NSDM Record No. 710, Borehole #1",,Imperial Oil Limited,Cumberland Basin,1929-09-09,1929-10-15,,,131.7,5072191,404977,20,45.79666667,64.22333333,,Plugged and Abandoned
P-49,Nappan #6,,Imperial Oil Limited,Cumberland Basin,1928-1929,,,,90.8,5070671,407546,20,45.78333333,64.19,,Plugged and Abandoned
P-48,Nappan #5,,Imperial Oil Limited,Cumberland Basin,1928-1929,,,,242.3,5070671,407546,20,45.78333333,64.19,,Plugged and Abandoned
P-47,Nappan #4,,Imperial Oil Limited,Cumberland Basin,1928-1929,,,,242.3,5070447,404000,20,45.78083333,64.23555556,,Plugged and Abandoned
P-46,Nappan #3,,Imperial Oil Limited,Cumberland Basin, December 1927, January 1928,,,54,5069419,404568,20,45.77166667,64.22805556,,Plugged and Abandoned
P-45,Nappan #2,,Imperial Oil Limited,Cumberland Basin, November 1927, December 1927,,,48.5,5069701,404335,20,45.77416667,64.23111111,,Plugged and Abandoned
P-44,Nappan #1,,Imperial Oil Limited,Cumberland Basin, November 1927, December 1927,,,205.1,5069018,404540,20,45.76805556,64.22833333,,Plugged and Abandoned
P-43,"NSDM Record No. 535, Borehole #5",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-09-15,1927-10-07,,,109.7,5143216,647238,20,46.42638889,61.08444444,,Plugged and Abandoned
P-42,"NSDM Record No. 534, Borehole #4",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-08-30,1927-09-14,,,64,5141605,645761,20,46.41222222,61.10416667,,Plugged and Abandoned
P-41,"NSDM Record No. 533, Borehole #3",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-08-05,1927-08-29,,,57.6,5141667,645759,20,46.41277778,61.10416667,,Plugged and Abandoned
P-40,"NSDM Record No. 532, Borehole #2",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-06-25,1927-08-04,,,217,5141729,645758,20,46.41333333,61.10416667,,Plugged and Abandoned
P-39,"NSDM Record No. 531, Borehole #1",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-06-11,1927-06-24,,,24.7,5141790,645756,20,46.41388889,61.10416667,,Plugged and Abandoned
P-38,"NSDM Record No. 530, Borehole #9",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-05-05,1927-06-10,,,201.5,5101590,628013,20,46.05583333,61.34583333,,Plugged and Abandoned
P-37,"NSDM Record No. 529, Borehole #8",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-04-01,1927-04-26,,,202.4,5100108,618755,20,46.04416667,61.46583333,,Plugged and Abandoned
P-36,"NSDM Record No. 528, Borehole #7",,Eastern Gulf Oil Company,Western Cape Breton Basin,1927-03-06,1927-03-30,,,182.9,5098316,620317,20,46.02777778,61.44611111,,Plugged and Abandoned
P-35,"NSDM Record No. 527, Borehole #6",,Eastern Gulf Oil Company,Western Cape Breton Basin,1926-11-13,1927-02-28,,,197.5,5099984,618758,20,46.04305556,61.46583333,,Plugged and Abandoned
P-34,"NSDM Record No. 526, Borehole #5",,Eastern Gulf Oil Company,Western Cape Breton Basin,1926-11-05,1926-11-12,,,53.9,5099799,618761,20,46.04138889,61.46583333,,Plugged and Abandoned
P-33,"NSDM Record No. 525, Borehole #4",,Eastern Gulf Oil Company,Western Cape Breton Basin,1926-10-23,1926-11-04,,,67.1,5100015,618757,20,46.04333333,61.46583333,,Plugged and Abandoned
P-32,"NSDM Record No. 524, Borehole #3",,Eastern Gulf Oil Company,Western Cape Breton Basin,1926-10-13,1926-10-23,,,33.5,5100015,618757,20,46.04333333,61.46583333,,Plugged and Abandoned
P-31,"NSDM Record No. 506, Borehole #2",,Eastern Gulf Oil Company,Western Cape Breton Basin,1926-09-22,1926-10-12,,,65.5,5099953,618758,20,46.04277778,61.46583333,,Plugged and Abandoned
P-30,"NSDM Record No. 505, Borehole #1",,Gulf Oil Company,Western Cape Breton Basin,1926-09-11,1926-09-19,,,23.32,5099889,618631,20,46.04222222,61.4675,,Plugged and Abandoned
P-29,"NSDM Record No. 485, Borehole #2",,Eastern Gulf Oil Company,Western Cape Breton Basin,1926-09-18,1927-01-10,,,177.4,5098182,619739,20,46.02666667,61.45361111,,Plugged and Abandoned
P-28,"NSDM Record No. 484, Borehole #1",,Gulf Oil Company,Western Cape Breton Basin,1926-06-17,1926-09-17,,,214,5098151,619739,20,46.02638889,61.45361111,,Plugged and Abandoned
P-27,Unknown,,Eastern Gulf Oil Company,Western Cape Breton Basin,1905-04-09,,,,274.3,5113757,638037,20,46.16333333,61.21277778,,Plugged and Abandoned
P-26,Lake Ainslie No. 6,,Maritime Oil & Gas Company Ltd.,Western Cape Breton Basin,1912-1914,,,,1677,5115873,640113,20,46.18194444,61.18527778,,Plugged and Abandoned
P-25,Lake Ainslie No. 5,,Maritime Oil & Gas Company Ltd.,Western Cape Breton Basin,1912-1914,,,,265.2,5115873,640113,20,46.18194444,61.18527778,,Plugged and Abandoned
P-24,Lake Ainslie No. 4,,Maritime Oil & Gas Company Ltd.,Western Cape Breton Basin,1912-1914,,,,335.3,5116156,640343,20,46.18444444,61.18222222,,Plugged and Abandoned
P-23,Lake Ainslie No. 3,,Maritime Oil & Gas Company Ltd.,Western Cape Breton Basin,1912-1914,,,,341.4,5116182,640127,20,46.18472222,61.335,,Plugged and Abandoned
P-22,Lake Ainslie No. 2,,Maritime Oil & Gas Company Ltd.,Western Cape Breton Basin,1905-03-26,,,,491.3,5116244,640147,20,46.18527778,61.18472222,,Plugged and Abandoned
P-21,Lake Ainslie No. 1,,Maritime Oil & Gas Company Ltd.,Western Cape Breton Basin,1905-03-26,,,,243.8,5116118,640043,20,46.18416667,61.18611111,,Plugged and Abandoned
P-20,Falmouth Station No. 1,,Unknown,Windsor Basin,1905-03-25,,,,582.5,4982050,407791,20,44.98583333,64.17027778,,Plugged and Abandoned
P-19,Unknown,,Nova Scotia Oil & Gas Company (?),Windsor Basin,1905-03-17,,,,304.8,5002840,408703,20,45.17305556,64.1625,,Plugged and Abandoned
P-18,Unknown,,Nova Scotia Oil & Gas Company,Windsor Basin,1905-03-17,,,,579.1,4999858,410036,20,45.14638889,64.145,,Plugged and Abandoned
P-17,Cheverie No. 1; NSDM Record No. 90,,Nova Scotia Oil & Gas Company,Windsor Basin,1905-03-17,,,,582.2,5001361,408485,20,45.15972222,64.165,,Plugged and Abandoned
P-16,NSDM Record No. 91,,Unknown,Stellarton Basin,1902-11-18,1903-07-10,,,189,5040954,522940,20,45.52166667,62.70694444,,Plugged and Abandoned
P-15,NSDM Record No. 88,,Unknown,Western Cape Breton Basin,Summer 1902,,,,335.3,5099064,639615,20,46.03083333,61.19666667,,Plugged and Abandoned
P-14,Unknown,,Unknown,Windsor Basin,1905-03-16,,,,396.2,4991265,406634,20,45.06861111,64.18666667,,Plugged and Abandoned
P-13,Unknown,,Unknown,Western Cape Breton Basin,1898-04-20,1898-10-19,,,682.8,5108653,641717,20,46.11666667,61.16666667,,Plugged and Abandoned
P-12,Unknown,,Unknown,Western Cape Breton Basin,1905-03-11,,,,0,5108743,645580,20,46.11666667,61.11666667,,Plugged and Abandoned
P-11,Unknown,,Unknown,Western Cape Breton Basin,pre-1897,,,,0,5109101,643725,20,46.12027778,61.14055556,,Plugged and Abandoned
P-10,Unknown,,Unknown,Western Cape Breton Basin,pre-1897,,,,0,5107793,644550,20,46.10833333,61.13027778,,Plugged and Abandoned
P-9,Unknown,,Victoria Oil Co.,Western Cape Breton Basin,1905-02-22,,,,152.4,5116070,671001,20,46.17666667,60.78527778,,Plugged and Abandoned
P-8,Unknown,,Unknown,Stellarton Basin,1905-02-20,,,,85.3,5045224,526068,20,45.56,62.66666667,,Plugged and Abandoned
P-7,Unknown,,Unknown,Western Cape Breton Basin,Autumn 1877,,,,0,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
P-6,Unknown,,Lake Ainslie Pioneer Oil & Salt Co.,Western Cape Breton Basin,May 1877,,,,0,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
P-5,Unknown,,Lake Ainslie Pioneer Oil & Salt Co.,Western Cape Breton Basin,1905-02-17,,,,335.3,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
P-4,NSDM Record No. 12,,Lake Ainslie Pioneer Oil & Salt Co.,Western Cape Breton Basin,1905-02-16,,,,274.3,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
P-3,NSDM Record No. 11,,Lake Ainslie Pioneer Oil & Salt Co.,Western Cape Breton Basin,1905-02-16,,,,198.1,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
P-2,Unknown,,Lake Ainslie Pioneer Oil & Salt Co.,Western Cape Breton Basin,1905-02-11,1876 (final TD),,,487.5,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
P-1,Unknown,,Lake Ainslie Pioneer Oil & Salt Co.,Western Cape Breton Basin,Summer 1869,,,,244.5,5107451,640456,20,46.10611111,61.18333333,,Plugged and Abandoned
M-12,Kempt Head 84-1,,Nova Scotia Department of Mines and Energy,,,,,90.97,943.2,5105175.1,682295.3,20,0,0,,
M-11,PE 84-1,,Nova Scotia Department of Mines and Energy,,,,,5.3,448.5,5118581.1,713802.5,20,0,0,,
M-10,WR84-1,,Nova Scotia Department of Mines and Energy,,,,,57,619.2,5100518.5,714195.6,20,0,0,,
M-9,WR84-2,,Nova Scotia Department of Mines and Energy,,,,,77,153,5098840,712122.5,20,0,0,,
M-8,St. Paul P-91,,Petro-Canada,,,,,24.9,2860.1,5229203.1,710100.7,20,0,0,,
M-7,PE 83-1,,Nova Scotia Department of Mines and Energy,,,,,40.4,761.3,5115658.4,711499.7,20,0,0,,
M-6,SYD 82-1,,Nova Scotia Department of Mines and Energy,,,,,90.7,1013,5109869.9,721715.1,20,0,0,,
M-5,North Sydney G-24,,Shell et al.,,,,,,,,,,46.55642611,59.81263167,,
M-4,Malagawatch #2,,Chevron Irving,,,,,8.76,611,5081518.9,661310.4,20,0,0,,
M-3,North Sydney F-14,,Shell et al.,,,,,27.4,1707,5159716.8,284409.4,21,0,0,,
M-2,NSDM 3439 Morton No. 1,,Nova Scotia Department of Mines,,,,,0,275,,,,,,,
M-1,NSDM 3440 Morton No. 1,,Nova Scotia Department of Mines,,,,,0,183.8,,,,,,,
